연번,업종명,업소명,소     재     지,전화번호
1,일반음식점,삼미투가리백숙, 청주시 흥덕구 예체로 157-1 (봉명동),
2,일반음식점,흥부찜닭, 청주시 흥덕구 성봉로 291 (복대동),
3,일반음식점,신토불이, 청주시 흥덕구 천석로 73 (봉명동),
4,일반음식점,정원보양촌, 청주시 흥덕구 비하로 7-1 (비하동),
5,일반음식점,머슴, 청주시 흥덕구 사운로 240 (운천동),
6,일반음식점,호도물회, 청주시 흥덕구 신봉동 28번지  ,
7,일반음식점,행복식당, 청주시 흥덕구 직지대로 593 (봉명동),
8,일반음식점,병천토종순대국밥수육국밥, 청주시 흥덕구 내수동로 39 (복대동 1층),
9,일반음식점,후라이드참잘하는집(가경.복대점), 청주시 흥덕구 가경로 100-20  1층 (가경동),
10,일반음식점,달맞이호프, 청주시 흥덕구 복대동 162번지 4호 효성아파트 상가107호(지상1층) ,
11,일반음식점,압구정김밥, 청주시 흥덕구 가경동 1416번지 119호  ,
12,일반음식점,토방식당 , 청주시 흥덕구 풍산로25번길 56-14 (가경동),
13,일반음식점,옥산막국수, 청주시 흥덕구 옥산면 청주역로 605,
14,일반음식점,투다리, 청주시 흥덕구 가로수로1154번길 21-5 (강서동  우정상가103호),
15,일반음식점,더끌림, 청주시 흥덕구 사운로 271 (운천동),
16,일반음식점,깜돈하복대점, 청주시 흥덕구 진재로47번길 9 (복대동),
17,일반음식점,행복한밥상, 청주시 흥덕구 진재로47번길 12-7 (복대동),
18,일반음식점,조개까는세상 본점, 청주시 흥덕구 월명로 37 (봉명동),
19,일반음식점,오봉자, 청주시 흥덕구 진재로15번길 15 (복대동 (1층)),
20,일반음식점,회 앤 조개찜, 청주시 흥덕구 짐대로50번길 4-10 (복대동 (1층)),
21,일반음식점,술은내친구, 청주시 흥덕구 풍산로137번길 24 (복대동 (1층)),
22,일반음식점,오창생삼겹살, 청주시 흥덕구 직지대로653번길 18-1 (봉명동 (1층)),
23,일반음식점,좋은날, 청주시 흥덕구 진재로 21 (복대동 (2층)),
24,일반음식점,마주, 청주시 흥덕구 월명로5번길 54 (복대동 (1층)),
25,일반음식점,지큐(GQ), 청주시 흥덕구 짐대로 57 (복대동 (6층)),
26,일반음식점,호죽두부촌, 청주시 흥덕구 옥산면 오산가좌로 436,
27,일반음식점,원조공주칼국수, 청주시 흥덕구 사운로 223 (운천동   789(1층)),
28,일반음식점,마미치킨, 청주시 흥덕구 사운로 277 (운천동 103호),
29,일반음식점,장미본가 생고기, 청주시 흥덕구 가로수로1154번길 21-17 (강서동 (1층)),
